UKPRN,HE Provider,Financial Year End,Tuition fees and education contracts,Funding body grants,Total research grants and contracts,Total other income,Investment income,Total income before donations and endowments,Total donations and endowments,Total income
,Total,,"21,766,088","5,521,427","6,299,036","7,328,287","374,848","6,276,386","930,449","42,220,135"
10007774,The University of Oxford,31/07/2020,"392,482","209,782","633,554","1,029,322","106,367",,"164,804","2,536,311"
10007788,The University of Cambridge,31/07/2020,"334,477","204,682","579,419","849,269","21,595",,"85,448","2,074,890"
10007784,University College London,31/07/2020,"602,884","227,992","467,714","211,235","7,340",,"26,576","1,543,741"
10007790,The University of Edinburgh,31/07/2020,"390,583","190,823","296,135","192,363","17,596","1,087,500","37,821","1,125,321"
10007798,The University of Manchester,31/07/2020,"500,553","133,508","264,714","149,598","5,081",,"10,742","1,064,196"
10003270,"Imperial College of Science, Technology and Medicine",31/07/2020,"337,718","154,290","347,692","152,450","5,951",,"28,264","1,026,365"
10003645,King's College London,31/07/2020,"428,828","148,309","200,544","165,473","4,186",,"16,835","964,175"
10007795,The University of Leeds,31/07/2020,"432,313","94,226","139,887","118,119","4,860",,"4,646","794,051"
10006840,The University of Birmingham,31/07/2020,"379,166","106,152","140,420","108,578","7,449",,"6,814","748,579"
10007157,The University of Sheffield,31/07/2020,"354,232","93,415","170,949","111,580","2,146",,"5,234","737,556"
10007154,University of Nottingham,31/07/2020,"388,987","98,667","104,972","109,315","2,852",,"5,701","710,494"
10007786,The University of Bristol,31/07/2020,"315,548","99,048","160,973","122,357","4,200",,"4,500","706,626"
10007794,The University of Glasgow,31/07/2020,"248,926","163,469","168,772","89,047","7,686","677,900","12,206","690,106"
10007163,The University of Warwick,31/07/2020,"360,070","66,371","131,683","115,453","2,602",,"3,664","679,843"
10006842,The University of Liverpool,31/07/2020,"324,279","76,236","95,098","77,645","7,019",,"3,174","583,451"
10007158,The University of Southampton,31/07/2020,"266,472","78,491","119,950","106,929","7,758",,"3,744","583,344"
10007814,Cardiff University,31/07/2020,"297,005","78,161","112,773","74,183","5,906","568,028",784,"568,812"
10007799,Newcastle University,31/07/2020,"288,176","75,776","97,723","72,492","1,908",,"8,157","544,232"
10007775,Queen Mary University of London,31/07/2020,"268,171","76,034","114,706","49,863","2,084",,"1,604","512,462"
10007792,The University of Exeter,31/07/2020,"274,463","53,241","93,152","49,991","2,064",,"4,733","477,644"
10007773,The Open University,31/07/2020,"330,659","96,602","11,897","18,007","13,749",,"3,230","474,144"
10001726,Coventry University,31/07/2020,"336,442","29,446","14,615","42,227","5,307",,242,"428,279"
10004063,London School of Economics and Political Science,31/07/2020,"228,111","29,304","34,246","66,897","3,879",,"58,469","420,906"
10007143,University of Durham,31/07/2020,"229,210","41,671","45,257","55,602","6,009",,"7,849","385,598"
10005343,Queen's University Belfast,31/07/2020,"126,651","99,318","88,682","54,335","3,577","372,563","4,434","376,997"
10007167,The University of York,31/07/2020,"196,656","48,415","67,805","59,933","1,610",,"2,063","376,482"
10004180,The Manchester Metropolitan University,31/07/2020,"274,997","30,130","9,726","30,467","1,172",,404,"346,896"
10004797,The Nottingham Trent University,31/07/2020,"286,901","22,155","6,995","21,976",795,,309,"339,131"
10007162,"University of the Arts, London",31/07/2020,"274,595","21,359","2,021","32,620","2,731",,"2,215","335,541"
10007805,The University of Strathclyde,31/07/2020,"109,534","102,412","81,157","37,458","2,059","332,620","2,201","334,821"
10004113,Loughborough University,31/07/2020,"174,821","39,446","38,027","73,447",420,,"1,170","327,331"
10007796,The University of Leicester,31/07/2020,"171,998","47,480","57,018","46,732",340,,"2,145","325,713"
10007768,The University of Lancaster,31/07/2020,"172,982","38,601","38,656","71,748",507,,957,"323,451"
10007806,The University of Sussex,31/07/2020,"198,405","33,879","36,947","45,195","2,748",,"3,334","320,508"
10007855,Swansea University,31/07/2020,"171,197","27,310","56,184","61,934",631,"317,256",249,"317,505"
10007160,The University of Surrey,31/07/2020,"166,276","40,944","44,231","50,652","11,053",,"2,009","315,165"
10007802,The University of Reading,31/07/2020,"187,125","31,499","38,022","48,930","5,469",,"2,798","313,843"
