UKPRN,HE Provider,Tuition fees and education contracts,Funding body grants,Total research grants and contracts,Total other income,Investment income,Total income before donations and endowments,Total donations and endowments,Total income
10007783,The University of Aberdeen,"53,210","74,300","60,974","32,854",929,"222,267",195,"222,462"
10007849,Abertay University,"8,558","20,617","1,158","2,762",404,"33,499","1,172","34,671"
10007856,Aberystwyth University,"58,016","12,371","21,836","29,184",896,"122,303","2,218","124,521"
10000291,Anglia Ruskin University,"158,920","18,178","6,542","29,847",242,"213,729",265,"213,994"
10007759,Aston University,"102,067","16,264","14,743","28,346",240,"161,660",713,"162,373"
10007857,Bangor University,"82,466","12,395","18,286","29,564",284,"142,995",385,"143,380"
10000571,Bath Spa University,"62,156","5,349","1,493","13,366",205,"82,569",222,"82,791"
10007850,The University of Bath,"148,853","31,908","35,144","47,282",939,"264,126","2,834","266,960"
10007152,University of Bedfordshire,"90,969","8,250","3,618","9,490",127,"112,454",83,"112,537"
10005343,Queen's University Belfast,"98,116","99,622","79,605","52,264","3,893","333,500","4,849","338,349"
10007760,Birkbeck College,"69,295","17,334","9,091","8,610",665,"104,995","3,600","108,595"
10007140,Birmingham City University,"176,553","16,148","1,686","15,936",542,"210,865",320,"211,185"
10006840,The University of Birmingham,"305,072","78,680","124,031","120,278","6,319","634,380","7,110","641,490"
10000712,University College Birmingham,"33,957","11,025",0,"6,356",695,"52,033",0,"52,033"
10007811,Bishop Grosseteste University,"16,984","1,512",63,"3,459",80,"22,098",16,"22,114"
10006841,The University of Bolton,"42,019","3,942",624,"2,972",91,"49,648",12,"49,660"
10000385,The Arts University Bournemouth,"31,340","3,427",0,"5,676",37,"40,480",53,"40,533"
10000824,Bournemouth University,"124,169","11,954","4,040","14,682",33,"154,878",252,"155,130"
10007785,The University of Bradford,"82,046","11,860","7,822","10,963",526,"113,217",191,"113,408"
10000886,The University of Brighton,"146,213","19,839","8,814","31,538",367,"206,771",632,"207,403"
10000936,The University College of Osteopathy,"3,564","1,013",2,705,12,"5,296",174,"5,470"
10007786,The University of Bristol,"243,564","88,855","159,902","111,768","3,920","608,009",37,"608,046"
10000961,Brunel University London,"107,067","26,377","20,858","45,546",395,"200,243",369,"200,612"
10000975,Buckinghamshire New University,"46,905","5,032",620,"9,247",107,"61,911",0,"61,911"
10007787,The University of Buckingham,"26,549","2,000",350,"5,315",144,"34,358","1,532","35,890"
10007788,The University of Cambridge,"276,337","177,994","465,994","852,593","17,902","1,790,820","79,105","1,869,925"
10003324,The Institute of Cancer Research,"2,309","19,464","60,443","24,523","1,402","108,141","15,907","124,048"
10001143,Canterbury Christ Church University,"101,110","11,056",547,"21,105",236,"134,054",0,"134,054"
10007814,Cardiff University,"254,048","58,351","101,232","82,094","7,445","503,170","1,953","505,123"
10007854,Cardiff Metropolitan University,"73,252","1,933","1,790","22,803",48,"99,826",45,"99,871"
10007141,The University of Central Lancashire,"152,779","23,458","6,207","28,387",869,"211,700",0,"211,700"
10007848,University of Chester,"93,664","10,338",930,"15,902",421,"121,255",11,"121,266"
10007137,The University of Chichester,"39,991","4,520","1,130","10,550",9,"56,200",74,"56,274"
10001478,"City, University of London","179,663","21,917","11,640","9,987",741,"223,948","2,753","226,701"
10001653,Conservatoire for Dance and Drama,"13,163","7,107",0,1,0,"20,271",0,"20,271"
10007761,Courtauld Institute of Art,"4,940","4,756","1,727","3,181","1,338","15,942","3,537","19,479"
10001726,Coventry University,"262,299","23,089","16,068","26,869","1,892","330,217",185,"330,402"
10007822,Cranfield University,"65,096","20,975","34,420","37,944",159,"158,594","17,765","176,359"
10006427,University for the Creative Arts,"43,578","8,770",147,"8,908",16,"61,419",10,"61,429"
