UKPRN,HE Provider,Financial Year End,Tuition fees and education contracts,Funding body grants,Total research grants and contracts,Total other income,Investment income,Total income before donations and endowments,Total donations and endowments,Total income
10008071,AA School of Architecture,31/07/2019,"16,319",0,0,"2,571",4,,806,"19,700"
10007783,The University of Aberdeen,31/07/2019,"62,613","77,618","54,210","31,482","1,975","227,898",596,"228,494"
10007849,Abertay University,31/07/2019,"9,782","19,706","2,061","2,450",474,"34,473",291,"34,764"
10007856,Aberystwyth University,31/07/2019,"55,794","12,954","18,517","27,984",774,"116,023",259,"116,282"
10000163,AECC University College,31/07/2019,"7,223",537,37,"1,341",32,,13,"9,183"
10032036,Amity Global Education,31/03/2019,90,0,0,"1,434",0,,0,"1,524"
10000291,Anglia Ruskin University,31/07/2019,"173,625","19,981","6,347","16,200",252,,192,"216,597"
10007759,Aston University,31/07/2019,"108,914","16,782","17,101","14,047",233,,370,"157,447"
10007857,Bangor University,31/07/2019,"80,698","13,688","21,098","29,936",520,"145,940",440,"146,380"
10000571,Bath Spa University,31/07/2019,"63,044","4,900","1,975","12,785",321,,231,"83,256"
10007850,The University of Bath,31/07/2019,"169,757","34,969","39,642","52,967","3,231",,"9,178","309,744"
10007152,University of Bedfordshire,31/07/2019,"97,854","8,100","3,077","10,403",186,,110,"119,730"
10005343,Queen's University Belfast,31/07/2019,"115,508","101,298","91,691","57,351","3,894","369,742","2,524","372,266"
10007760,Birkbeck College,31/07/2019,"68,665","16,514","8,839","9,068",836,,"1,500","105,422"
10007140,Birmingham City University,31/07/2019,"208,580","18,058","2,489","15,859",227,,"1,553","246,766"
10006840,The University of Birmingham,31/07/2019,"351,782","84,822","150,620","110,885","10,992",,"7,195","716,296"
10000712,University College Birmingham,31/07/2019,"36,668","8,488",0,"6,712","1,336",,0,"53,204"
10000894,Bristol Baptist College,30/06/2019,282,0,0,14,182,,120,598
10007811,Bishop Grosseteste University,31/07/2019,"16,812","2,925",226,"4,266",52,,0,"24,281"
10006841,The University of Bolton,31/07/2019,"54,122","24,645",444,"6,747",87,,23,"86,068"
10000385,The Arts University Bournemouth,31/07/2019,"32,546","2,772",125,"7,109",89,,20,"42,661"
10000824,Bournemouth University,31/07/2019,"127,107","11,122","6,575","15,115",200,,69,"160,188"
10007785,The University of Bradford,31/07/2019,"78,565","13,005","7,308","9,414",574,,294,"109,160"
10000886,The University of Brighton,31/07/2019,"145,865","23,218","7,415","33,848",625,,482,"211,453"
10000936,The University College of Osteopathy,31/07/2019,"3,683",918,137,663,24,,215,"5,640"
10007786,The University of Bristol,31/07/2019,"288,788","94,342","173,485","142,383","4,993",,"2,900","706,891"
10000961,Brunel University London,31/07/2019,"127,967","30,416","22,962","47,782",442,,184,"229,753"
10000975,Buckinghamshire New University,31/07/2019,"43,732","4,988",589,"9,005",210,,1,"58,525"
10007788,The University of Cambridge,31/07/2019,"320,150","181,860","592,388","946,042","40,225",,"111,388","2,192,053"
10003324,The Institute of Cancer Research,31/07/2019,"2,678","45,212","67,362","37,979","2,432",,"11,735","167,398"
10001143,Canterbury Christ Church University,31/07/2019,"96,318","9,214","1,554","18,792",200,,0,"126,078"
10007814,Cardiff University,31/07/2019,"279,521","57,985","116,048","76,117","6,259","535,930","2,570","538,500"
10007854,Cardiff Metropolitan University,31/07/2019,"81,024","3,580","2,631","19,383",175,"106,793",52,"106,845"
10007141,The University of Central Lancashire,31/07/2019,"159,417","32,377","7,454","34,426","1,164",,0,"234,838"
10007848,University of Chester,31/07/2019,"94,964","10,439","2,458","19,073",313,,4,"127,251"
10007137,The University of Chichester,31/07/2019,"39,901","3,702","1,307","10,576",6,,30,"55,522"
10001386,Chicken Shed Theatre Company,31/03/2019,450,255,0,"2,450",0,,403,"3,558"
10026921,Christ the Redeemer College,31/07/2019,435,0,0,50,0,,8,493
10001478,"City, University of London",31/07/2019,"195,306","23,229","11,716","10,030","1,518",,"2,281","244,080"
10001653,Conservatoire for Dance and Drama,31/07/2019,"14,660","8,313",0,10,0,,0,"22,983"
10007761,Courtauld Institute of Art,31/07/2019,"5,650","4,819","1,227","1,823",943,,"15,455","29,917"
10001726,Coventry University,31/07/2019,"310,099","26,993","11,553","51,494","1,724",,179,"402,042"
10007822,Cranfield University,31/07/2019,"76,700","21,100","42,217","36,359",140,,"6,693","183,209"
10006427,University for the Creative Arts,31/07/2019,"48,690","7,727",226,"9,435",94,,3,"66,175"
10007842,University of Cumbria,31/07/2019,"46,393","5,661",375,"7,053",79,,14,"59,575"
10001883,De Montfort University,31/07/2019,"211,195","18,325","3,953","10,311","1,080",,426,"245,290"
10007851,University of Derby,31/07/2019,"142,899","22,211","1,774","24,647",917,,5,"192,453"
10007852,The University of Dundee,31/07/2019,"66,903","81,069","69,755","32,757","1,104","251,588","4,765","256,353"
10007143,University of Durham,31/07/2019,"209,299","39,432","51,415","67,270","4,802",,"8,804","381,022"
10007789,The University of East Anglia,31/07/2019,"158,351","34,703","55,904","54,340","1,188",,"3,148","307,634"
10007144,The University of East London,31/07/2019,"106,764","12,515","1,598","20,791",25,,18,"141,711"
10007823,Edge Hill University,31/07/2019,"98,809","5,939","1,435","17,251",340,,0,"123,774"
10007772,Edinburgh Napier University,31/07/2019,"43,875","59,076","3,349","15,767",274,"122,341",152,"122,493"
10007790,The University of Edinburgh,31/07/2019,"346,850","195,819","285,654","234,018","17,413","1,079,754","21,750","1,101,504"
10022047,Empire College London Limited,31/03/2019,658,0,0,0,0,,0,658
10007791,The University of Essex,31/07/2019,"135,723","23,832","30,901","55,272",808,,59,"246,595"
10008173,University College of Estate Management,31/07/2019,"13,552",0,38,442,512,,42,"14,586"
10007792,The University of Exeter,31/07/2019,"247,898","47,006","86,965","62,751","1,408",,"3,250","449,278"
10008640,Falmouth University,31/07/2019,"53,143","3,967","1,026","6,504",188,,0,"64,828"
10004511,The National Film and Television School,31/07/2019,"6,688","5,308",836,"2,649",0,,895,"16,376"
10042500,Global Banking School Limited,28/02/2019,"4,448",0,0,1,0,,0,"4,449"
10007762,Glasgow Caledonian University,31/07/2019,"39,813","68,270","5,765","9,694",245,"123,787",539,"124,326"
10002681,Glasgow School of Art,31/07/2019,"16,323","14,551","3,217","17,357",-893,"50,555",0,"50,555"
10007794,The University of Glasgow,31/07/2019,"228,234","162,824","195,064","80,236","7,195","673,553","14,343","687,896"
10007145,University of Gloucestershire,31/07/2019,"62,530","6,829","1,936","11,994",410,,65,"83,764"
10007833,Glyndŵr University,31/07/2019,"25,911","3,816",143,"5,984",111,"35,965",0,"35,965"
10002718,Goldsmiths College,31/07/2019,"99,228","12,034","6,126","15,057",290,,51,"132,786"
10007146,The University of Greenwich,31/07/2019,"143,223","20,084","14,071","31,776",584,,124,"209,862"
10007825,Guildhall School of Music and Drama,31/07/2019,"15,025","5,880",409,"11,930",0,,0,"33,244"
10040812,Harper Adams University,31/07/2019,"20,639","9,025","3,172","9,700",57,,"1,592","44,185"
10080811,Hartpury University,31/07/2019,"15,247","11,844",0,"11,971",2,,0,"39,064"
10007764,Heriot-Watt University,31/07/2019,"121,844","48,393","33,642","31,022","1,357","236,258","1,091","237,349"
10007147,University of Hertfordshire,31/07/2019,"171,023","22,531","8,788","67,382","1,691",,368,"271,783"
10007148,The University of Huddersfield,31/07/2019,"132,657","16,047","12,674","8,034","3,104",,1,"172,517"
10007149,The University of Hull,31/07/2019,"126,614","25,722","11,525","27,826",814,,755,"193,256"
10003270,"Imperial College of Science, Technology and Medicine",31/07/2019,"313,177","156,766","368,020","152,132","7,105",,"76,554","1,073,754"
10035638,Institute of Contemporary Music Performance,31/05/2019,"6,393",0,0,36,1,,0,"6,430"
10007767,Keele University,31/07/2019,"80,460","22,370","17,079","46,890","1,765",,280,"168,844"
10007150,The University of Kent,31/07/2019,"163,501","29,579","19,565","52,069",938,,783,"266,435"
10003645,King's College London,31/07/2019,"393,788","128,301","194,681","163,941","5,123",,"16,131","901,965"
10003678,Kingston University,31/07/2019,"140,920","20,362","3,736","25,287",637,,727,"191,669"
10003758,LAMDA Limited,31/07/2019,"4,824",0,0,"6,895",3,,"1,180","12,902"
10007768,The University of Lancaster,31/07/2019,"152,193","34,003","42,041","81,809",696,,"8,678","319,420"
10003854,Leeds Arts University,31/07/2019,"17,274","3,302",0,203,55,,0,"20,834"
10003861,Leeds Beckett University,31/07/2019,"160,143","14,426","3,224","37,495",664,,11,"215,963"
10034449,Leeds Conservatoire,31/07/2019,"10,987",573,0,750,1,,5,"12,316"
10007795,The University of Leeds,31/07/2019,"400,182","89,203","150,824","130,362","6,097",,"15,182","791,850"
10003863,Leeds Trinity University,31/07/2019,"26,803","1,244",58,"4,741",91,,1,"32,938"
10007796,The University of Leicester,31/07/2019,"168,218","43,970","58,085","58,467",208,,"1,977","330,925"
10007151,The University of Lincoln,31/07/2019,"123,967","14,441","8,876","17,942",370,,205,"165,801"
10003956,Liverpool Hope University,31/07/2019,"41,820","3,077",487,"6,387",131,,396,"52,298"
10003957,Liverpool John Moores University,31/07/2019,"185,421","21,211","9,544","4,169",952,,261,"221,558"
10003945,The Liverpool Institute for Performing Arts,31/07/2019,"8,721","2,101",0,"1,271",13,,40,"12,146"
10006842,The University of Liverpool,31/07/2019,"309,014","71,117","98,653","86,377","10,617",,"1,882","577,660"
10003958,Liverpool School of Tropical Medicine,31/07/2019,"4,337","11,385","80,996","143,366","1,178",,"1,412","242,674"
10007162,"University of the Arts, London",31/07/2019,"253,152","22,700","1,418","39,468","2,856",,"2,036","321,630"
10007769,London Business School,31/07/2019,"137,409","8,077","1,879","4,550","1,363",,"13,150","166,428"
10007797,University of London (Institutes and activities),31/07/2019,"62,629","8,704","2,742","93,711","4,076",,"3,292","175,154"
10023434,London School of Commerce & IT Limited,31/03/2019,281,0,0,292,0,,0,573
10004048,London Metropolitan University,31/07/2019,"71,979","8,454",459,"5,844",716,,210,"87,662"
10032594,London School of Academics Ltd,31/03/2019,584,0,0,0,0,,0,584
10004078,London South Bank University,31/07/2019,"111,344","30,699","4,429","33,623",303,,646,"181,044"
10004063,London School of Economics and Political Science,31/07/2019,"227,406","60,132","33,267","78,140","4,667",,"17,190","420,802"
10007771,London School of Hygiene and Tropical Medicine,31/07/2019,"22,578","26,341","167,567","18,444",269,,"12,306","247,505"
10062810,The London School of Architecture,30/06/2019,719,0,0,12,0,,251,982
10008289,The London Institute of Banking & Finance,31/07/2019,"14,828",0,0,"1,941",135,,18,"16,922"
10004035,The Film Education Training Trust Limited,31/01/2019,"1,537",0,0,28,0,,0,"1,565"
10004113,Loughborough University,31/07/2019,"163,832","36,076","38,927","70,473",621,,"1,887","311,816"
10004180,The Manchester Metropolitan University,31/07/2019,"263,334","29,133","9,555","32,064","1,863",,131,"336,080"
